Simbol;Denumire emisiune;ISIN;Emitent;Cod Fiscal / CUI;Nr. obligatiuni emise;Valoare nominala;Valoare emisiune;Data emisiune;Data listarii;Data maturitate;Numar cupoane;Convertibila;Benchmark;Tip;Sectiune bursa;Piata Principala;Categoria;Stare;Model tranzactionare;Lista pasi de pret
RBRO27A;RAIFFEISEN BANK - On . 08.2027;XS2511879160;RAIFFEISEN BANK S.A.;361820;954;525000;500850000;17.08.2022;31.08.2022;17.08.2027;5;N/A;N/A;Obligatiuni corporative;BSE;ORDB;Corporative;Tranzactionabila;Tranzactionare continua;
RBRO27B;Raiffeisen Bank - Ob. 10.2027;XS2539944012;RAIFFEISEN BANK S.A.;361820;620;525000;325500000;18.10.2022;02.11.2022;18.10.2027;5;N/A;N/A;Obligatiuni corporative;BSE;ORDB;Corporative;Tranzactionabila;Tranzactionare continua;
RBRO27C;RAIFFEISEN BANK -2027C;XS2556373046;RAIFFEISEN BANK S.A.;361820;930;525000;488250000;07.12.2022;28.02.2023;07.12.2027;5;N/A;N/A;Obligatiuni corporative;BSE;ORDB;Corporative;Tranzactionabila;Tranzactionare continua;
RBRO28;RAIFFEISEN BANK - OB. 2028;XS2349343256;RAIFFEISEN BANK S.A.;361820;2300;525000;1207500000;11.06.2021;02.07.2021;11.06.2028;7;N/A;N/A;Obligatiuni corporative;BSE;ORDB;Corporative;Tranzactionabila;Tranzactionare continua;
REO26;Obligatiuni RESTART ENERGY ONE;ROSWAJ8VBNH9;RESTART ENERGY ONE S.A.;34583200;163612;100;16361200;09.02.2021;21.04.2021;09.02.2026;10;Da;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
REO29E;Obligatiuni RESTART ENERGY ONE;ROSKWX0JR662;RESTART ENERGY ONE S.A.;34583200;-;-;-;-;-;-;-;N/A;N/A;;ATS;EPOFB;-;;Tranzactionare continua;
RES33E;Municipiul Resita;ROB9XRLOJL28;Municipiul Resita;3228764;88296;100;8829600;27.11.2023;05.03.2024;27.11.2033;20;N/A;N/A;Obligatiuni municipale;BSE;EORDB;Municipale;Tranzactionabila;Tranzactionare continua;
SBET29;Stanleybet Capital;RO8RVBRK4M42;Stanleybet Capital;43412218;148124;100;14812400;13.02.2025;25.03.2025;13.02.2029;8;N/A;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;right4
SKI29;SKI SURIANU - 2029;ROVXNCTXABT1;SKI SURIANU;27691021;73215;100;7321500;29.05.2024;04.11.2024;29.05.2029;20;N/A;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
SLB29;MUNICIPIUL SLOBOZIA;ROSLOBDBL029;MUNICIPIUL SLOBOZIA;4365352;500000;100;50000000;15.10.2009;31.03.2010;23.08.2029;80;N/A;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
SNG29E;S.N.G.N. ROMGAZ S.A.;XS2914558593;S.N.G.N. ROMGAZ S.A.;14056826;500000;1000;500000000;07.10.2024;19.11.2024;07.10.2029;5;N/A;N/A;Obligatiuni corporative;BSE;EORDB;Corporative;Tranzactionabila;Tranzactionare continua;
SRE28;PRIMARIA ORASULUI SIRET;ROSRETDBL011;PRIMARIA ORASULUI SIRET;4440985;40000;100;4000000;10.07.2009;08.01.2010;01.03.2028;38;N/A;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
TEI26;Teilor Holding S.A. - obligatiuni 2026;ROWHNUNOC0X3;Teilor Holding S.A.;44897782;140035;100;14003500;03.12.2021;21.12.2021;03.12.2026;10;N/A;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
TEI26E;Teilor Holding S.A. - obligatiuni 26E;ROWE4PSUGYB6;Teilor Holding S.A.;44897782;62700;100;6270000;03.12.2021;21.12.2021;03.12.2026;10;N/A;N/A;Obligatiuni corporative;ATS;EXRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
TEI29;TEILOR HOLDING S.A.;RO5YAJX72VV8;Teilor Holding S.A.;44897782;74160;100;7416000;30.10.2024;03.04.2025;30.10.2029;10;N/A;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
TEI29E;TEILOR HOLDING S.A.;ROEX14KHPYN6;Teilor Holding S.A.;44897782;29275;100;2927500;30.10.2024;03.04.2025;30.10.2029;10;N/A;N/A;Obligatiuni corporative;ATS;EXRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
TGM27;MUNICIPIUL TARGU MURES;ROTGMUDBL039;MUNICIPIUL TG. MURES;4322823;200000;100;20000000;29.08.2007;14.12.2007;15.08.2027;80;Nu;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
TGM27A;MUNICIPIUL TARGU MURES;ROTGMUDBL047;MUNICIPIUL TG. MURES;4322823;320000;100;32000000;07.03.2008;29.05.2008;15.08.2027;78;Nu;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
TIM26;PRIMARIA MUNICIPIULUI TIMISOARA;ROTIMYDBL037;MUNICIPIUL TIMISOARA;14756536;300000;100;30000000;30.12.2006;04.06.2007;12.05.2026;78;Nu;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
TIM26A;PRIMARIA MUNICIPIULUI TIMISOARA;ROTIMYDBL045;MUNICIPIUL TIMISOARA;14756536;300000;100;30000000;27.06.2007;09.05.2008;15.05.2026;76;Nu;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
TIM26B;PRIMARIA MUNICIPIULUI TIMISOARA;ROTIMYDBL052;MUNICIPIUL TIMISOARA;14756536;300000;100;30000000;29.12.2007;09.05.2008;15.05.2026;74;Nu;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
TIM26C;MUNICIPIUL TIMISOARA;ROTIMYDBL060;MUNICIPIUL TIMISOARA;14756536;300000;100;30000000;28.06.2008;27.10.2008;15.05.2026;72;Nu;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
TIM26D;MUNICIPIUL TIMISOARA;ROTIMYDBL078;MUNICIPIUL TIMISOARA;14756536;300000;100;30000000;02.10.2008;03.03.2009;15.05.2026;71;N/A;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
TIM28;JUDETUL TIMIS;ROTIMYDBL086;CONSILIUL JUDETEAN TIMIS;4358029;1000000;100;100000000;22.03.2011;02.06.2011;07.04.2028;68;Nu;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
TLV28E;Obligatiuni euro TLV 2028;ROTLVADBC023;BANCA TRANSILVANIA S.A.;5022670;2850;100000;285000000;28.06.2018;06.07.2018;28.06.2028;20;N/A;N/A;Obligatiuni corporative;BSE;EORDB;Corporative;Tranzactionabila;Tranzactionare continua;
TLV33E;BANCA TRANSILVANIA S.A.;XS2641792465;BANCA TRANSILVANIA S.A.;5022670;2000;100000;200000000;29.06.2023;17.07.2023;29.06.2033;20;N/A;N/A;Obligatiuni corporative;BSE;EORDB;Corporative;Tranzactionabila;Tranzactionare continua;
TRI29;TRICOMSERV S.A.;ROUY2P7TG6S8;TRICOMSERV SA;552064;25000;100;2500000;04.03.2024;28.01.2025;04.03.2029;20;N/A;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
UCB27;UniCredit Bank Bonds 2027;RO3WU5H09299;UNICREDIT BANK S.A.;361536;977;500000;488500000;21.12.2022;16.01.2023;21.12.2027;5;N/A;N/A;Obligatiuni corporative;BSE;ORDB;Corporative;Tranzactionabila;Tranzactionare continua;
UCB28;UniCredit Bank bonds;ROG0M1EGXBN8;UNICREDIT BANK S.A.;361536;960;500000;480000000;24.11.2023;20.12.2023;24.11.2028;5;N/A;N/A;Obligatiuni corporative;BSE;ORDB;Corporative;Tranzactionabila;Tranzactionare continua;
UCB29;UniCredit Bank S.A.;RO22LR2CLFI6;UNICREDIT BANK S.A.;361536;1500;500000;750000000;22.11.2024;23.12.2024;22.11.2029;5;N/A;N/A;Obligatiuni corporative;BSE;ORDB;Corporative;Tranzactionabila;Tranzactionare continua;
VIV26E;Vivre Deco - Bonds 2026 EUR;RO7VX2N5Z5L7;Vivre Deco;30010618;14000;500;7000000;21.04.2021;14.07.2021;21.04.2026;10;N/A;N/A;Obligatiuni corporative;ATS;EXRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
ZAL30;MUNICIPIUL ZALAU;ROZALADBL025;MUNICIPIUL ZALAU;4291786;643000;100;64300000;01.09.2010;22.10.2010;15.09.2030;80;N/A;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
