Simbol;Denumire emisiune;ISIN;Emitent;Cod Fiscal / CUI;Nr. obligatiuni emise;Valoare nominala;Valoare emisiune;Data emisiune;Data listarii;Data maturitate;Numar cupoane;Convertibila;Benchmark;Tip;Sectiune bursa;Piata Principala;Categoria;Stare;Model tranzactionare;Lista pasi de pret
PAY26E;SELFPAY - Obligatiuni 2026 EUR;RO70A2Q834X6;SELFPAY - OBLIGATIUNI 2026 EUR;26067497;30000;100;3000000;16.06.2021;27.07.2021;16.06.2026;20;N/A;N/A;Obligatiuni corporative;ATS;EXRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
PBK27E;Patria Bank Obligatiuni 2027;ROZN0PQQARR5;PATRIA BANK S.A.;11447021;10000;500;5000000;20.09.2019;27.11.2019;20.09.2027;16;N/A;N/A;Obligatiuni corporative;BSE;EORDB;Corporative;Tranzactionabila;Tranzactionare continua;
PBK28E;Patria Bank Obligatiuni 2028 EUR;ROWRHZRZD4L3;PATRIA BANK S.A.;11447021;16374;500;8187000;05.10.2020;15.12.2020;05.10.2028;16;N/A;N/A;Obligatiuni corporative;BSE;EORDB;Corporative;Tranzactionabila;Tranzactionare continua;
PMB25;OBLIGATIUNI MUN. BUCURESTI 2025;ROPMBUDBL046;MUNICIPIUL BUCURESTI;4267117;55510;10000;555100000;04.05.2015;05.05.2015;05.05.2025;10;Nu;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Suspendata;Tranzactionare continua;
PMB28;OBLIGATIUNI MUNICIPIUL BUCURESTI (2028);ROPMBUDBL053;MUNICIPIUL BUCURESTI;4267117;55500;10000;555000000;23.04.2018;26.04.2018;23.04.2028;10;N/A;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
PMB30;OBLIGATIUNI MUN. BUCURESTI 2030;RODPCQ8K7RO9;MUNICIPIUL BUCURESTI;4267117;55500;10000;555000000;25.04.2023;28.04.2023;25.04.2030;7;N/A;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
PMB31;MUNICIPIUL BUCURESTI;RO75TM0LR431;MUNICIPIUL BUCURESTI;4267117;-;-;-;-;-;-;-;N/A;N/A;Obligatiuni municipale;BSE;POFB;-;;Tranzactionare continua;
PMB32;OBLIGATIUNI MUN. BUCURESTI 2032;ROZH3OWXL435;MUNICIPIUL BUCURESTI;4267117;55500;10000;555000000;19.04.2022;29.04.2022;19.04.2032;10;N/A;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
PRD26;ORASUL PREDEAL;ROPRDLDBL032;ORASUL PREDEAL;4580423;40000;100;4000000;22.06.2006;12.10.2009;15.05.2026;40;N/A;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
PRF26E;Prefera Foods;RON9MVHTZFM5;Prefera Foods;18484221;10000;500;5000000;23.07.2021;10.09.2021;23.07.2026;10;N/A;N/A;Obligatiuni corporative;ATS;EXRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
R2506A;MINISTERUL FINANTELOR;ROKR9X7I5RZ9;MINISTERUL  FINANTELOR;8609468;1791243;100;179124300;24.06.2022;27.06.2022;24.06.2025;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
